model,class_id,class_name,support_pixels,tp,fp,fn,tn,precision,recall_sensitivity,specificity,f1,dice,iou,loss,roc_auc,average_precision,pr_auc,hd95,asd,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path
ResNet-UNet cw0,0,Background,75494710,75241762,270017,252948,2911241,0.9964241737702935,0.9966494606045907,0.9151225710080729,0.9965368044548073,0.9965368044548072,0.9930975135698701,0.3555358081523861,0.9897113743831709,0.9988427956407302,0.9988421948226415,,,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,1,Spleen,84568,71145,9415,13423,78581985,0.8831305858987091,0.841275659824047,0.9998802031774469,0.8616951698076644,0.8616951698076644,0.756998606130896,0.3555358081523861,0.9977602963986275,0.9170808078278699,0.9170030332050964,3.1814765598684107,1.0782280189951057,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,2,Right kidney,22661,15857,8150,6804,78645157,0.6605156829258133,0.6997484665283968,0.9998963807078067,0.6795662981057684,0.6795662981057684,0.514653857388595,0.3555358081523861,0.9677478089557935,0.6769846414110787,0.6758034080219695,6.416613827496811,2.286219280434682,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,3,Left kidney,169740,153531,7680,16209,78498548,0.9523605709287828,0.904506892895016,0.9999021733664238,0.927817108877145,0.927817108877145,0.8653533987149138,0.3555358081523861,0.9997890105962255,0.9751917900937269,0.9751727815403444,2.7939628872666935,0.7997631604290852,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,4,Gallbladder,168278,142894,9625,25384,78498065,0.9368931083996093,0.8491543754976884,0.9998774005450931,0.8908686801933933,0.8908686801933934,0.8032129868523858,0.3555358081523861,0.9917679470204215,0.9425382410767403,0.9425098152975783,3.35106472260462,1.0900747959536428,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,5,Liver,1868558,1799446,141863,69112,76665547,0.9269240497004856,0.9630131898501412,0.9981530037271144,0.9446240511807893,0.9446240511807893,0.8950592935509527,0.3555358081523861,0.9988998555179426,0.9840030740597294,0.9840022176632448,9.891728522865423,2.2127021967690976,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,6,Stomach,96519,52064,26155,44455,78553294,0.665618328027717,0.5394171095846414,0.9996671521583207,0.5959093042154541,0.595909304215454,0.42440941030699253,0.3555358081523861,0.9605095501640396,0.6261004994174201,0.6256835861277921,15.149354778976521,5.158874017567827,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,7,Aorta,265363,244440,34893,20923,78375712,0.8750845764732416,0.9211532881373816,0.9995549964191706,0.8975281624979805,0.8975281624979805,0.814105296813386,0.3555358081523861,0.9996169373694874,0.9552694898165789,0.9552454517863201,5.566775246949445,1.7695456491286097,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw0,8,Pancreas,505571,366247,80784,139324,78089613,0.8192877004055648,0.7244224846757429,0.9989665653098833,0.7689402289728554,0.7689402289728554,0.624616486599415,0.3555358081523861,0.9728253920972214,0.8436424844766467,0.8436095217783078,14.878423951657856,5.462440361130702,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw001,0,Background,75494710,75269398,285311,225312,2895947,0.9962237826897063,0.9970155259885096,0.9103150388934189,0.9966194970931997,0.9966194970931996,0.9932617727830928,0.3593073798609631,0.9877008272363978,0.9987828243355326,0.9987816099005897,,,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
